id,project,status,target_completion_date,highway_transit_line,estimated_total_budget,latitude,longitude,category,supporting_ministry,community,description,result,area,region,address,postal_code,municipal_funding,provincial_funding,federal_funding,other_funding,website
1574,Affordable Housing on Hespeler Road,Complete,2018-05-01,,4250000,43.382012,-80.319678,Communities,Municipal Affairs and Housing,Cambridge,34 new rental units for people with low income,Apartment units with one bedroom and two bedrooms for people with low income.,Waterloo,Southwest,175 Hespeler Road,N1R 3H6,Yes,Yes,Yes,Yes,
1575,Affordable Housing on King Street East,Complete,2017-01-01,,600000,43.39364,-80.35411,Communities,Municipal Affairs and Housing,Cambridge,15 units geared towards  families with low income,"Apartments with 1, 2 bedroom geared towards families with low income",Waterloo,Southwest,1103-1109  King Street East,N3H3P7,,Yes,Yes,Yes,
1576,Affordable Housing on Gordon Street,Complete,2017-05-01,,8044000,43.683308,-80.430886,Communities,Municipal Affairs and Housing,Centre Wellington,55 new rental units for seniors,Apartment units with one bedroom and two bedrooms geared towards Seniors,Wellington,Southwest,169 Gordon Street,N1M 2W3,Yes,Yes,Yes,,
1577,Affordable Housing,Complete,2021-12-01,,752210,42.328221,-82.002906,Communities,Municipal Affairs and Housing,Chatham-Kent,7 units geared towards seniors at 45 Margaret Street,Apartments with 1 bedroom/unit geared towards seniors,Chatham-Kent,Southwest,45 Margaret Street,N0P1A0,Yes,Yes,Yes,Yes,
1578,Affordable Housing,Complete,2020-02-01,,5822400,43.905772,-78.698963,Communities,Municipal Affairs and Housing,Clarington,"42 units geared towards persons with disabilities, seniors, families with low income at 1505 Bowmanville Avenue","Apartments with 1, 2 bedroom/unit geared towards persons with disabilities, seniors, families with low income",Durham,Central,1505 Bowmanville Avenue,L1C4M7,,Yes,Yes,Yes,
1579,Affordable Housing,Complete,2020-02-01,,4656600,43.905803,-78.698792,Communities,Municipal Affairs and Housing,Clarington,"33 units geared towards persons with disabilities seniors, families with low income at 1505 Bowmanville Avenue","Apartments with 1, 2 bedroom/unit geared towards persons with disabilities, seniors, families with low income",Durham,Central,1505 Bowmanville Avenue,L1C3K7,,,Yes,Yes,
1580,Affordable Housing,Complete,2021-12-01,,2648300,43.918599,-78.585452,Communities,Municipal Affairs and Housing,Clarington,18 units geared towards seniors at 153 King Avenue East,Apartments with 1 bedroom/unit geared towards seniors,Durham,Central,153 King Avenue East,L1B1H3,,Yes,,Yes,
1581,Affordable housing on Munroe Street,Complete,2019-08-01,,1593500,43.968264,-78.161075,Communities,Municipal Affairs and Housing,Cobourg,14 units geared towards seniors.,Apartments  with  1 bedroom  units geared towards seniors.,Northumberland,East,86 Munroe Street,K9A1C1,Yes,Yes,Yes,Yes,
1582,Affordable Housing,Complete,2019-07-01,,809900,43.968865,-78.164248,Communities,Municipal Affairs and Housing,Cobourg,7 units geared towards seniors at 86 Munroe Street,Apartments with 1 bedroom/unit geared towards seniors,Northumberland,East,86 Munroe Street,K9A1C1,,Yes,Yes,Yes,
1583,Affordable Housing,Complete,2019-07-01,,1176200,43.967624,-78.164377,Communities,Municipal Affairs and Housing,Cobourg,"10 units geared towards persons with disabilities, seniors at 86 Munroe Street","Apartments with 1, 2 bedroom/unit geared towards persons with disabilities, seniors",Northumberland,East,86 Munroe Street,K9A1C1,,Yes,Yes,Yes,
1584,Affordable Housing on King Street,Complete,2016-08-01,,636834,49.78423,-92.83633,Communities,Municipal Affairs and Housing,Dryden,4 units geared towards  indigenous low income families,Apartments with 1 bedroom geared towards indigenous low income families,Kenora,Northwest,49 King Street,P8N 1B7,,Yes,,,
1585,Affordable Housing on Eagle Drvie,Complete,2019-05-01,,170000,49.77,-92.83452,Communities,Municipal Affairs and Housing,Dryden,1 units geared towards  indigenous low income families,Apartments with 3 bedroom geared towards indigenous low income families,Kenora,Northwest,24 Eagle Drive,P8N 2C9,,Yes,Yes,,
1586,Affordable Housing on King Street,Complete,2020-02-01,,850000,49.78423,-92.83633,Communities,Municipal Affairs and Housing,Dryden,6 units geared towards  indigenous low income families,"Apartments with 1, 2, Bachelor bedroom geared towards indigenous low income families",Kenora,Northwest,26 KIng Street,P8N 1B3,,Yes,Yes,,
1587,Affordable Housing on Rourke Avenue,Complete,2019-01-01,,1700000,49.7805,-92.8228,Communities,Municipal Affairs and Housing,Dryden,10 units geared towards  indigenous low income families,"Apartments with 3, 4 bedroom geared towards indigenous low income families",Kenora,Northwest,91 Rourke Avenue,P8N 2N6,,Yes,Yes,,
1588,Affordable Housing on Woodstock Street,Complete,2016-11-01,,1032400,43.317463,-80.841048,Communities,Municipal Affairs and Housing,East Zorra-Tavistock,16 units geared towards  seniors,Apartments with 1 bedroom geared towards seniors,Oxford,Southwest,55 Woodstock Street,N0B 2R0,Yes,Yes,Yes,,
1589,Affordable housing on Eighth Street,Complete,2016-04-01,,1020000,48.620794,-93.399827,Communities,Municipal Affairs and Housing,Fort Frances,6 units geared towards people with low income from Indigenous communities.,Apartments  with  1  2 and 3 bedroom  units geared towards people with low income from Indigenous communities.,Rainy River,Northwest,237C Eighth Street W,P9A3G2,,Yes,Yes,,
1590,"Affordable Housing on Fifth Street, East",Complete,2019-08-01,,397025,48.61461,-93.39783,Communities,Municipal Affairs and Housing,Fort Frances,4 units geared towards  homeless,Apartments with Bachelor bedroom geared towards homeless,Rainy River,Northwest,1302 Fifth Street East,P9A 1T7,Yes,Yes,Yes,Yes,
1591,Affordable Housing on Eighth Street,Complete,2018-06-01,,1019564,46.50786,-84.32396,Communities,Municipal Affairs and Housing,Fort Frances,6 units geared towards  indigenous low income families,"Apartments with 1, 2, 3 bedroom geared towards indigenous low income families",Rainy River,Northwest,237 Eighth Street,P6A 3G2,,Yes,Yes,Yes,
1592,"Affordable Housing on Fifth Street, East",Complete,2019-08-01,,477850,48.614609,-93.397827,Communities,Municipal Affairs and Housing,Fort Frances,4 units geared towards  homeless,Apartments with Bachelor bedroom geared towards homeless,Rainy River,Northwest,1302 Fifth Street East,P9A 1T7,Yes,Yes,Yes,,
1593,Affordable Housing on Hillside Drive,Complete,2018-02-01,,150000,44.32392,-76.17582,Communities,Municipal Affairs and Housing,Gananoque,1 units geared towards  persons with disabilities,Apartments with 2 bedroom geared towards persons with disabilities,Leeds and Grenville,East,635 Hillside drive,K7G 2E3,,Yes,Yes,,
1594,Affordable Housing on The Queensway South,Complete,2014-05-01,,12489748,44.243097,-79.470984,Communities,Municipal Affairs and Housing,Georgina,97 new rental units for families with low income,"Apartment units with bachelor, one bedroom and two bedroom for low income families",York,Central,17 The Queensway South,L4P 0G2,Yes,Yes,Yes,,
1595,Affordable Housing on Sharpe Street,Complete,2014-04-01,,100000,44.917868,-79.374155,Communities,Municipal Affairs and Housing,Gravenhurst,2 new rental units for seniors,Apartment units with one bedroom geared towards Seniors,Muskoka,Central,141 Sharpe Street,P1P 1J1,,Yes,Yes,Yes,
1596,Affordable Housing on Bristol Street,Complete,2015-10-01,,600000,43.535496,-80.254245,Communities,Municipal Affairs and Housing,Guelph,8 new rental units for people with low income,Apartment units with bachelor and one bedroom for persons with low income,Wellington,Southwest,187 Bristol Street,N1H 6Y9,,Yes,Yes,,
1597,Affordable Housing,Complete,2024-03-01,,543430,43.553184,-80.278569,Communities,Municipal Affairs and Housing,Guelph,27 units geared towards seniors at 395 Edinburgh Road North,"Apartments with 1, 2 bedroom/unit geared towards seniors",Wellington,Southwest,395 Edinburgh Road North,N1H5H8,Yes,Yes,Yes,Yes,
1598,Affordable Housing on Haliburton County Road 21,Complete,2019-05-01,,669318,45.1758,-78.4186,Communities,Municipal Affairs and Housing,Haliburton County,6 units geared towards  families with low income,"Apartments with 2, 3 bedroom geared towards families with low income",Haliburton,East,4977 Haliburton County Road 21 Other,K0M 1S0,Yes,Yes,Yes,,
1599,Affordable Housing on County Road 21,Complete,2019-08-01,,124200,45.1758,-78.4186,Communities,Municipal Affairs and Housing,Haliburton County,1 units geared towards  families with low income,Apartments with 3 bedroom geared towards families with low income,Haliburton,East,4977 County Road 21 Highway,K0M 1S0,Yes,Yes,Yes,,
1600,Affordable Housing on County Road 21,Complete,2019-05-01,,562923,45.1758,-78.4186,Communities,Municipal Affairs and Housing,Haliburton County,4 units geared towards  families with low income,"Apartments with 2, 3 bedroom geared towards families with low income",Haliburton,East,4977 County Road 21 Highway,K0M 1S0,Yes,Yes,Yes,,
1601,Affordable Housing on County Road 21,Complete,2019-08-01,,150000,45.1758,-78.4186,Communities,Municipal Affairs and Housing,Haliburton County,1 units geared towards  families with low income,Apartments with 3 bedroom geared towards families with low income,Haliburton,East,4977 County Road 21 Highway,K0M 1S0,Yes,Yes,,,
1602,Affordable housing in Hamilton's east end,Complete,2016-06-01,,5400000,43.240097,-79.809258,Communities,Municipal Affairs and Housing,Hamilton,47 new apartments for individuals and families with low income,"42 new 1 bedroom units, 5 new 2 bedroom units, including 10 barrier-free",Hamilton,Central,1430 Main St E,L8K 1C3,,Yes,Yes,,
1603,Affordable Housing on Main Street,Complete,2016-03-01,,660000,43.257959,-79.88103,Communities,Municipal Affairs and Housing,Hamilton,6 units geared towards people with low income from Indigenous communities,Apartment units with one bedroom and two bedrooms geared towards persons with low income from indigenous communities,Hamilton,Central,272-274 Main Street,L8P 1J6,,,Yes,,
1604,Affordable Housing on James Street North,Complete,2020-08-01,,6300000,43.270021,-79.863048,Communities,Municipal Affairs and Housing,Hamilton,42 new rental units for people with low income,Apartment units with one bedroom for people with low income.,Hamilton,Central,500 James Street North,L8L 1J4,Yes,Yes,Yes,Yes,
1605,Affordable Housing on Mary Street. East,Complete,2019-12-01,,5250000,43.2594,-79.8627,Communities,Municipal Affairs and Housing,Hamilton,"35 units geared towards  persons with disabilities, families with low income, families with low income","Apartments with 1 bedroom geared towards persons with disabilities, families with low income, families with low income",Hamilton,Central,147 Mary St.,L8L 2A3,Yes,,Yes,,
1606,Affordable Housing on West Street South,Complete,2014-01-01,,100000,45.324622,-79.217319,Communities,Municipal Affairs and Housing,Huntsville,2 rental apartment units geared towards people with low income,Apartment units with two bedrooms,Muskoka,Central,28 West Street South,P1H 1P3,Yes,Yes,Yes,Yes,
1607,Affordable housing on Amory Street,Complete,2014-04-01,,203926,46.344153,-83.928231,Communities,Municipal Affairs and Housing,Johnson,3 units geared towards persons with disabilities.,Apartments  with  2 bedroom units geared towards persons with disabilities.,Algoma,Northeast,9 Amory Street,P0R 1E0,,Yes,Yes,Yes,
1608,Affordable Housing on Lindsay Street North,Complete,2019-05-01,,517759,44.359643,-78.736689,Communities,Municipal Affairs and Housing,Kawartha Lakes,6 new rental units for persons facing homelessness,Apartment units with one bedroom for persons who are chronically homeless,Kawartha Lakes,East,68 Lindsay Street North,K9V 1T7,Yes,Yes,Yes,Yes,
1609,Affordable Housing on Lindsay Street North,Complete,2019-06-01,,2070000,44.359666,-78.736807,Communities,Municipal Affairs and Housing,Kawartha Lakes,14 new rental units for persons facing homelessness,Apartment units with one bedroom for persons who are chronically homeless,Kawartha Lakes,East,68 Lindsay Street North,K9V 1T7,Yes,Yes,Yes,Yes,
1610,Affordable Housing on Devan Court,Complete,2015-10-01,,191405,44.347228,-78.738418,Communities,Municipal Affairs and Housing,Kawartha Lakes,2 units geared towards  persons with disabilities,Apartments with 1 bedroom geared towards persons with disabilities,Kawartha Lakes,East,1 Devan Court,K9V 3E3,Yes,,Yes,Yes,
1611,Affordable Housing,Complete,2019-06-01,,300000,44.35953,-78.736657,Communities,Municipal Affairs and Housing,Kawartha Lakes,2 units geared towards homeless at 68 Lindsay Street North,Apartments with 1 bedroom/unit geared towards homeless,Kawartha Lakes,East,68 Lindsay Street North,K9V1T7,Yes,Yes,,Yes,
1612,"Affordable Housing on 6th Avenue, South",Complete,2017-01-01,,330000,49.7567,-94.4809,Communities,Municipal Affairs and Housing,Kenora,"6 units geared towards  persons with disabilities, persons with disabilities, seniors, families with low income, families with low income","Apartments with 1, 2, 3, Bachelor bedroom geared towards persons with disabilities, persons with disabilities, seniors, families with low income, families with low income",Kenora,Northwest,"1, 2, 3, 4, 5, 6-801 6th Avenue South",P9N 1R7,Yes,Yes,Yes,Yes,
1613,"Affordable Housing on Fifth Avenue, South",Complete,2019-06-01,,143900,49.76573,-94.484359,Communities,Municipal Affairs and Housing,Kenora,2 units geared towards  persons with disabilities,Apartments with 1 bedroom geared towards persons with disabilities,Kenora,Northwest,116 Fifth Avenue South,P9N 2A2,Yes,,Yes,Yes,
1614,Affordable housing on Scattered Units Autre,Complete,2014-04-01,,587000,44.242502,-76.544854,Communities,Municipal Affairs and Housing,Kingston,6 units geared towards people with low income from Indigenous communities.,"Apartments  with  1, 3,  4 bedroom  and bachelor units geared towards people with low income from Indigenous communities.",Frontenac,East,566 Armstrong Rd. 113,K7M 8G9,,Yes,Yes,,
1615,Affordable housing on Cliff Crescent,Complete,2016-08-01,,697966,44.233395,-76.51566,Communities,Municipal Affairs and Housing,Kingston,6 units geared towards persons with low income.,Apartments  with  1 bedroom  units geared towards persons with low income.,Frontenac,East,40 Cliff Crescent,K7M1A8,,,Yes,Yes,
1616,Affordable Housing on Cliff Crescent,Complete,2019-02-01,,1200000,44.231251,-76.516373,Communities,Municipal Affairs and Housing,Kingston,8 units geared towards  families with low income,Apartments with 1 bedroom geared towards families with low income,Frontenac,East,28 Cliff Crescent,K7M 1A8,Yes,Yes,Yes,,
1617,Affordable Housing on Lyons Street,Complete,2019-09-01,,338880,44.254086,-76.499423,Communities,Municipal Affairs and Housing,Kingston,3 units geared towards  persons with disabilities,Apartments with 1 bedroom geared towards persons with disabilities,Frontenac,East,35 Lyons. Street,K7K 4K6,,Yes,Yes,Yes,
1618,Affordable Housing on Milford Drive,Complete,2017-10-01,,750000,44.252884,-76.589783,Communities,Municipal Affairs and Housing,Kingston,9 units geared towards  homeless,Apartments with Bachelor bedroom geared towards homeless,Frontenac,East,965 Milford Drive,K7P 1S2,,Yes,Yes,,
1619,Affordable Housing on Lyons Street,Complete,2019-09-01,,750000,44.254868,-76.499168,Communities,Municipal Affairs and Housing,Kingston,6 units geared towards  persons with disabilities,Apartments with 1 bedroom geared towards persons with disabilities,Frontenac,East,35 Lyons Street,K7K 0C9,,Yes,Yes,,
1620,Affordable Housing on Brock Street,Complete,2019-02-01,,1342500,44.232864,-76.506561,Communities,Municipal Affairs and Housing,Kingston,10 units geared towards  families with low income,Apartments with Bachelor bedroom geared towards families with low income,Frontenac,East,29-645 Brock Street,K7L 1V7,,,Yes,,
1621,Affordable Housing,Complete,2019-06-01,,1651662,44.255483,-76.49935,Communities,Municipal Affairs and Housing,Kingston,14 units geared towards families with low income at 35 Lyons Street,Apartments with 1 bedroom/unit geared towards families with low income,Frontenac,East,35 Lyons Street,K7K4K6,,Yes,Yes,Yes,
1622,Affordable Housing,Under construction,2026-02-01,,2230000,44.2371,-76.501067,Communities,Municipal Affairs and Housing,Kingston,38 units geared towards young adults at 484 Albert Street,Apartments with bachelor bedroom/unit geared towards young adults,Frontenac,East,484 Albert Street,K7L3W3,Yes,Yes,Yes,,
1623,Affordable Housing,Complete,2022-01-01,,1306820,44.238429,-76.515661,Communities,Municipal Affairs and Housing,Kingston,8 units geared towards young adults at 27 Wright Crescent,Apartments with bachelor bedroom/unit geared towards young adults,Frontenac,East,27 Wright Crescent,K7L4T8,Yes,Yes,Yes,Yes,
1624,Affordable Housing,Complete,2020-03-01,,853290,44.234131,-76.51665,Communities,Municipal Affairs and Housing,Kingston,6 units geared towards families with low income at 20 Cliff Crescent,Apartments with 1 bedroom/unit geared towards families with low income,Frontenac,East,20 Cliff Crescent,K7M1A8,Yes,Yes,,Yes,
1625,Affordable Housing on Connaught Street,Complete,2016-11-01,,1866890,43.429492,-80.447765,Communities,Municipal Affairs and Housing,Kitchener,16 new rental units geared towards people with disabilities,Apartment units with one bedroom  for people with physical disabilities,Waterloo,Southwest,430 Connaught Street,N2C 1C2,Yes,Yes,Yes,Yes,
1626,Affordable housing on Sydney,Complete,2018-06-01,,2640000,43.438685,-80.472803,Communities,Municipal Affairs and Housing,Kitchener,22 units geared towards persons with disabilities and seniors.,Apartments  with  1 and 2 bedroom  units geared towards persons with disabilities and seniors.,Waterloo,Southwest,108 Sydney Street South,N2G3V2,Yes,Yes,,Yes,
1627,Affordable Housing on Railway Street,Complete,2016-07-01,,150000,44.4039,-76.041,Communities,Municipal Affairs and Housing,Leeds and the Thousand Islands,1 units geared towards  persons with disabilities,Apartments with 2 bedroom geared towards persons with disabilities,Leeds and Grenville,East,201 Railway Street,K0E 1L0,Yes,Yes,Yes,Yes,
1628,Affordable housing on Riverside Drive,Complete,2016-05-01,,1620000,42.983376,-81.264445,Communities,Municipal Affairs and Housing,London,28 units geared towards persons with low income.,Apartments  with  1 bedroom  units geared towards persons with low income.,Middlesex,Southwest,129 Riverside Drive,N6H4R9,Yes,Yes,Yes,Yes,
1629,Affordable housing on Dundas Street,Complete,2015-08-01,,660000,42.98367,-81.248614,Communities,Municipal Affairs and Housing,London,11 units geared towards persons with low income.,Apartments  with  1 bedroom  units geared towards persons with low income.,Middlesex,Southwest,189 Dundas Street,N6A1G4,,Yes,Yes,Yes,
1630,Affordable housing on Tecumseh Avenue,Complete,2015-08-01,,1320000,42.966804,-81.266681,Communities,Municipal Affairs and Housing,London,22 units geared towards persons with low income.,Apartments  with  1 bedroom  units geared towards persons with low income.,Middlesex,Southwest,77 Tecumseh Avenue West,N6J1K8,,Yes,Yes,Yes,
1631,Affordable housing on Dundas Street,Complete,2014-08-01,,141750,42.989532,-81.230714,Communities,Municipal Affairs and Housing,London,4 units geared towards persons with low income.,Apartments  with  1 bedroom  units geared towards persons with low income.,Middlesex,Southwest,666-668 Dundas Street,N5W2Y8,,Yes,Yes,Yes,
1632,Affordable housing on Princess Avenue,Complete,2017-06-01,,1980000,42.990528,-81.242676,Communities,Municipal Affairs and Housing,London,33 units geared towards persons with disabilities and seniors.,Apartments  with  1 bedroom  units geared towards persons with disabilities and seniors.,Middlesex,Southwest,380 Princess Avenue,N6B2A9,Yes,Yes,Yes,Yes,
1633,Affordable housing on Commissioners Road,Complete,2016-06-01,,1852438,42.956444,-81.281133,Communities,Municipal Affairs and Housing,London,29 units geared towards persons with disabilities.,Apartments  with  1 bedroom  units geared towards persons with disabilities.,Middlesex,Southwest,339 Commissioners Road West,N6J1Y4,Yes,Yes,,Yes,
1634,Affordable housing on Tokala Trail,Complete,2015-12-01,,240000,43.016419,-81.323481,Communities,Municipal Affairs and Housing,London,4 units geared towards persons with disabilities.,Apartments  with  bachelor   units geared towards persons with disabilities.,Middlesex,Southwest,2514 Tokala Trail,N6G0M4,,,Yes,Yes,
1635,Affordable housing on Hamilton Road,Complete,2016-07-01,,1820000,42.975491,-81.175783,Communities,Municipal Affairs and Housing,London,26 units geared towards persons with disabilities and low income.,Apartments  with  1 bedroom  units geared towards persons with disabilities and low income.,Middlesex,Southwest,1166 Hamilton Road,N5W 1A9,Yes,Yes,Yes,Yes,
1636,Affordable housing on Clarke Road,Complete,2017-01-01,,1666505,42.995238,-81.171821,Communities,Municipal Affairs and Housing,London,14 units geared towards persons with disabilities and low income.,Apartments  with  1 bedroom  units geared towards persons with disabilities and low income.,Middlesex,Southwest,193 Clarke Road,N5W5E5,Yes,Yes,Yes,Yes,
1637,Affordable Housing,Under construction,2024-01-01,,4218190,43.862257,-79.31447,Communities,Municipal Affairs and Housing,Markham,29 units geared towards seniors at 4300 Highway 7 Highway,Apartments with 1 bedroom/unit geared towards seniors,York,Central,4300 Highway 7 Highway,L3R3A6,Yes,Yes,,,
1638,"Affordable Housing on Main Street, East",Complete,2019-09-01,,1050000,43.52302,-79.87245,Communities,Municipal Affairs and Housing,Milton,7 units geared towards  families with low income,"Apartments with 1, 2 bedroom geared towards families with low income",Halton,Central,various (total 7)-716 Main Street East,L9T 3P6,,Yes,Yes,Yes,
1639,Affordable Housing,Complete,2021-09-01,,900000,43.519658,-79.881042,Communities,Municipal Affairs and Housing,Milton,6 units geared towards families with low income  at 80 Ontario Street,Apartments with 1 bedroom/unit geared towards families with low income,Halton,Central,80 Ontario Street,L9T4Z6,,Yes,Yes,Yes,
1640,Affordable Housing,Complete,2021-09-01,,2700000,43.505753,-79.883557,Communities,Municipal Affairs and Housing,Milton,18 units geared towards families with low income at 154 Bronte Street South,Apartments with 1 bedroom/unit geared towards families with low income,Halton,Central,154 Bronte Street South,L9T1Z7,,Yes,Yes,Yes,
1641,Affordable Housing,Complete,2021-09-01,,900000,43.505971,-79.884115,Communities,Municipal Affairs and Housing,Milton,6 units geared towards persons with disabilities at 154 Bronte Street South,Apartments with 1 bedroom/unit geared towards persons with disabilities,Halton,Central,154 Bronte Street South,L9T1Z7,,Yes,,Yes,
1642,Affordable Housing on Parkside Street,Complete,2017-04-01,,300000,44.931701,-78.725467,Communities,Municipal Affairs and Housing,Minden Hills,1 unit geared towards person with disabilities,House with one bedroom geared towards person with physical disabilities,Haliburton,East,57 Parkside Street,K0M 2K0,Yes,Yes,Yes,Yes,
1643,Affordable housing on Parkside Street,Complete,2017-04-01,,700000,44.956041,-78.805385,Communities,Municipal Affairs and Housing,Minden Hills,7 units geared towards seniors.,Apartments  with  1 bedroom  units geared towards seniors.,Haliburton,East,57 Parkside Street,K0M2K0,,Yes,Yes,Yes,
1644,"Affordable Housing on Eglinton Avenue, West",Complete,2019-07-01,,750000,43.56667,-79.69825,Communities,Municipal Affairs and Housing,Mississauga,5 units geared towards  families with low income,Apartments with 1 bedroom geared towards families with low income,Peel,Central,2520 Eglinton Avenue West,L5M 0Y4,Yes,Yes,Yes,,
1645,Affordable Housing on City Centre Drive,Complete,2020-12-01,,12994105,43.589111,-79.646568,Communities,Municipal Affairs and Housing,Mississauga,87 units geared towards  families with low income,"Apartments with 1, 2 bedroom geared towards families with low income",Peel,Central,360 City Centre Drive,L5B 0C3,,Yes,Yes,Yes,
1646,"Affordable Housing on Eglinton Avenue, West",Complete,2017-06-01,,1800000,43.557161,-79.707121,Communities,Municipal Affairs and Housing,Mississauga,12 units geared towards  families with low income,Apartments with 1 bedroom geared towards families with low income,Peel,Central,2560 Eglinton Avenue West,L5M 0Y3,Yes,Yes,Yes,,
1647,Affordable Housing on Brickstone Mews,Complete,2017-07-01,,750000,43.5852,-79.6459,Communities,Municipal Affairs and Housing,Mississauga,5 units geared towards  families with low income,Apartments with 1 bedroom geared towards families with low income,Peel,Central,4011 Brickstone Mews Other,L5B 0J7,Yes,Yes,Yes,,
1648,425 Lakeshore East,Complete,2022-03-01,,2184986,43.57,-79.57,Communities,Municipal Affairs and Housing,Mississauga,15 units geared towards Persons with Disabilities,Apartments with 1 Bedroom geared towards Persons with Disabilities,Peel,Central,425 Lakeshore East Road,L5G1H8,Yes,Yes,Yes,Yes,
1649,Affordable Housing,Under construction,2025-12-01,,6060484,43.57192,-79.564328,Communities,Municipal Affairs and Housing,Mississauga,50 units geared towards families with low income at 958/960 East Avenue,"Apartments with 1, 2, 3 bedroom/unit geared towards families with low income",Peel,Central,958/960 East Avenue,L5E1W6,Yes,Yes,,,
1650,Affordable Housing,Complete,2025-12-01,,9415070,43.572147,-79.563694,Communities,Municipal Affairs and Housing,Mississauga,50 units geared towards families with low income at 958/960 East Avenue,"Apartments with 1, 2, 3 bedroom/unit geared towards families with low income",Peel,Central,958/960 East Avenue,L5W1W6,Yes,Yes,Yes,,
1651,425 Lakeshore East,Complete,2022-03-01,,5895890,43.57,-79.57,Communities,Municipal Affairs and Housing,Mississauga,51 units geared towards Persons with Disabilities,Apartments with 1 Bedroom geared towards Persons with Disabilities,Peel,Central,425 Lakeshore East Road,L5G1H8,Yes,Yes,,Yes,
1652,Affordable Housing on Country Street,Complete,2018-11-01,,1200000,45.2031,-76.2388,Communities,Municipal Affairs and Housing,Mississippi Mills,"11 units geared towards  persons with disabilities, families with low income, homeless youth","Apartments with 1, Bachelor bedroom geared towards persons with disabilities, families with low income, homeless youth",Lanark,East,411 Country Street,K0A 1A0,,,Yes,,
1653,Affordable housing on Yonge Street,Complete,2017-01-01,,1350000,44.042892,-79.498509,Communities,Municipal Affairs and Housing,Newmarket,9 units geared towards persons with low income.,Apartments  with  1 bedroom  units geared towards persons with low income.,York,Central,16580 Yonge Street,L3X 2N8,Yes,Yes,Yes,,
1654,Affordable Housing on Huron Street,Complete,2016-12-01,,720000,43.105595,-79.072273,Communities,Municipal Affairs and Housing,Niagara Falls,9 new rental units geared towards people with disabilities,Apartment units with one bedroom  for people with mental health issues,Niagara,Central,4750 Huron Street,L2E 2H9,Yes,Yes,Yes,Yes,
1655,Affordable Housing on Bell Street,Complete,2018-10-01,,500000,49.01652,-88.26153,Communities,Municipal Affairs and Housing,Nipigon,4 units geared towards  seniors,Apartments with 1 bedroom geared towards seniors,Thunder Bay,Northwest,175 Bell Street,P0T 2J0,Yes,Yes,Yes,,
1656,Affordable Housing on Queen Street North,Complete,2015-03-01,,560000,42.843697,-80.315518,Communities,Municipal Affairs and Housing,Norfolk County,6 new rental units for people with disabilities and low income,Row housing with one bedroom for persons with disabilities and low income,Haldimand-Norfolk,Southwest,364 Queen Street North,N3Y 3Z2,,Yes,Yes,Yes,
1657,Affordable housing on Dean Street,Complete,2016-10-01,,2000000,42.832694,-80.304771,Communities,Municipal Affairs and Housing,Norfolk County,35 units geared towards persons with disabilities.,Apartments  with  1 bedroom and bachelor units geared towards persons with disabilities.,Haldimand-Norfolk,Southwest,203 John Street,N3Y 2Y5,,Yes,Yes,Yes,
1658,Affordable Housing on Marshall Park Drive,Complete,2018-07-01,,2880140,46.27909,-79.44039,Communities,Municipal Affairs and Housing,North Bay,38 units geared towards  families with low income,"Apartments with 1, 2 bedroom geared towards families with low income",Nipissing,Northeast,4 Marshall Park Drive,P1A 2N9,,Yes,Yes,,
1659,Affordable Housing on Marshall Park Drive,Complete,2018-07-01,,303173,46.279091,-79.440392,Communities,Municipal Affairs and Housing,North Bay,4 units geared towards  families with low income,"Apartments with 1, Bachelor bedroom geared towards families with low income",Nipissing,Northeast,4 Marshall Park Drive,P1A 2N9,,,Yes,,
1660,Affordable Housing,Complete,2022-09-01,,2210000,46.316653,-79.459646,Communities,Municipal Affairs and Housing,North Bay,13 units geared towards indigenous homeless at 941 Cassells Street,Apartments with 1 bedroom/unit geared towards indigenous homeless,Nipissing,Northeast,941 Cassells. Street,P1B4A8,,Yes,,,
1661,Affordable housing on Northumberland Street,Complete,2014-07-01,,540000,43.304888,-80.443778,Communities,Municipal Affairs and Housing,North Dumfries,4 units geared towards persons with disabilities.,Apartments  with  bachelor  units geared towards persons with disabilities.,Waterloo,Southwest,123 Northumberland Street,N0B1E0,,Yes,Yes,Yes,
1662,Affordable housing on Craig Street,Complete,2014-01-01,,480000,43.18991,-81.537701,Communities,Municipal Affairs and Housing,North Middlesex,8 units geared towards persons with low income.,Apartments  with  1 bedroom  units geared towards persons with low income.,Middlesex,Southwest,111 Craig Street,N0M1A0,Yes,Yes,Yes,Yes,
1663,Affordable Housing on Speers Road,Complete,2016-12-01,,400000,43.447167,-79.687053,Communities,Municipal Affairs and Housing,Oakville,3 new rental units geared towards people with low income,Apartment units with one bedroom  for people with low income.,Halton,Central,65 Speers Road,L4L 5Y7,,Yes,Yes,Yes,
1664,Affordable Housing on Old Bronte Road,Complete,2018-06-01,,1500000,43.4348,-79.7743,Communities,Municipal Affairs and Housing,Oakville,10 units geared towards  families with low income,Apartments with 1 bedroom geared towards families with low income,Halton,Central,2490 Old Bronte Road,L6M 4J2,Yes,Yes,Yes,Yes,
1665,Affordable Housing on Speers Road,Complete,2017-06-01,,750000,43.42733,-79.70884,Communities,Municipal Affairs and Housing,Oakville,5 units geared towards  families with low income,Apartments with 1 bedroom geared towards families with low income,Halton,Central,55 Speers Road,L6K 0H9,Yes,Yes,Yes,,
